Card,Store,Date,Amount,Category,Notes,Recurring,Who,Cycle
Amex Gold,Chowrastha,"Jun 1, 2025",12.12,Eat Out,,,Us,2025-05
Amex Gold,Hashtag,"Jun 1, 2025",7.97,Food & Living,,,Us,2025-05
Amex Gold,Hashtag,"Jun 1, 2025",2.15,Food & Living,,,Us,2025-05
Amex Gold,Sugarboy donuts,"Jun 2, 2025",2.00,Eat Out,,,Us,2025-05
Amex Gold,Hashtag,"Jun 2, 2025",17.29,Eat Out,,,Us,2025-05
Amex Gold,Hashtag,"Jun 3, 2025",17.29,Eat Out,,,Us,2025-05
Amex Gold,Uber eats hashtag,"Jun 3, 2025",18.87,Eat Out,Cricket at Teja UP,,Us,2025-05
Amex Gold,Temu,"Jun 4, 2025",27.88,Luxury (Home),,,Us,2025-05
Amex Gold,Hash tag,"Jun 4, 2025",42.14,Eat Out,Cricket at Teja UP,,Us,2025-05
Chase Prime,Amazon,"Jun 5, 2025",9.73,Luxury (Personal),Bead bracelet,,Us,2025-05
Amex Gold,Kroger,"Jun 7, 2025",7.50,Food & Living,,,Us,2025-05
Amex Gold,Home Depot,"Jun 7, 2025",125.57,Luxury (Home),Backyard seating tire around and paint,,Us,2025-05
BofA Debit,Amma chethi ruchulu,"Jun 7, 2025",9.99,Eat Out,,,Us,2025-05
Amex Gold,Temu,"Jun 7, 2025",27.88,Luxury (Home),Tire covers,,Us,2025-05
Amex Gold,Kroger,"Jun 7, 2025",7.45,Food & Living,,,Us,2025-05
Amex Gold,Home Depot,"Jun 7, 2025",125.57,Luxury (Home),,,Us,2025-05
BofA Debit,Amma Cheti Vanta,"Jun 8, 2025",20.00,Eat Out,,,Us,2025-05
Apple Card,iPhone loan Citizens Bank,"Jun 9, 2025",36.00,Luxury (Personal),,,Us,2025-05
Apple Card,Boohooman,"Jun 9, 2025",248.51,Luxury (Personal),,,Us,2025-05
Amex Gold,Bharat Bhavan,"Jun 9, 2025",59.50,Eat Out,,,Us,2025-05
Amex Gold,CVS Pharmacy,"Jun 9, 2025",12.79,Food & Living,Melatonin,,Us,2025-05
